,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000206967.1,2,5,9,3,1,3,1,3,2
ENSG00000206969.1,9,9,29,9,16,20,21,6,15
ENSG00000206970.1,0,0,0,0,0,0,0,0,0
ENSG00000206972.1,0,3,0,0,0,0,0,0,0
ENSG00000206973.1,0,0,0,0,0,0,0,0,0
ENSG00000206974.1,0,1,0,0,0,0,1,0,0
ENSG00000206975.1,0,0,0,0,0,0,0,0,0
ENSG00000206976.1,8,18,21,23,14,21,16,12,15
ENSG00000206977.1,3,15,15,4,5,11,3,3,2
ENSG00000206978.1,0,0,0,0,0,0,0,0,0
ENSG00000206979.1,0,0,0,0,0,0,0,0,0
ENSG00000206980.1,1,2,3,1,1,4,1,2,1
ENSG00000206981.1,0,1,0,0,0,0,0,0,1
ENSG00000206982.1,0,0,0,0,0,0,0,0,0
ENSG00000206983.1,0,0,0,0,0,0,0,0,0
ENSG00000206985.1,6,32,19,11,19,24,22,28,19
ENSG00000206987.1,4,19,4,1,3,7,5,8,4
ENSG00000206989.1,12,16,35,15,26,44,32,51,31
ENSG00000206990.1,0,0,0,0,0,0,0,0,0
ENSG00000206991.1,11,45,11,10,13,10,5,19,9
ENSG00000206992.1,16,15,13,4,8,13,5,6,15
ENSG00000206995.1,2,18,5,8,8,3,3,5,6
ENSG00000206996.1,0,1,0,0,0,0,0,0,0
ENSG00000206997.1,0,0,1,0,0,0,0,1,0
ENSG00000206998.1,0,2,0,0,0,0,0,0,0
ENSG00000206999.1,0,0,0,0,0,0,0,0,0
ENSG00000207000.1,0,2,0,2,0,6,0,0,4
ENSG00000207001.1,0,7,2,0,4,0,0,2,2
ENSG00000207002.1,0,6,0,0,1,0,0,1,4
ENSG00000207003.1,44,53,92,45,42,59,62,44,29
ENSG00000207004.1,0,3,0,0,0,1,0,0,1
ENSG00000207005.1,3,5,8,2,4,8,8,8,5
ENSG00000207007.1,0,5,1,5,3,5,6,12,2
ENSG00000207008.1,19,22,31,16,8,18,3,31,18
ENSG00000207009.1,0,9,6,13,4,5,3,7,17
ENSG00000207010.1,0,0,0,0,0,0,0,0,1
ENSG00000207011.1,1,0,2,0,0,0,0,0,2
ENSG00000207012.1,0,0,0,0,0,0,0,0,0
ENSG00000207013.1,0,0,0,0,0,0,0,0,0
ENSG00000207014.1,0,5,0,0,1,1,0,3,6
ENSG00000207016.1,7,1,4,4,3,4,4,6,0
ENSG00000207019.1,0,0,0,0,0,0,0,0,0
ENSG00000207020.1,1,1,1,1,1,0,1,1,0
ENSG00000207021.1,3,37,17,10,7,21,10,7,14
ENSG00000207022.1,1,0,0,1,1,1,3,8,1
ENSG00000207023.1,4,3,3,1,2,3,1,0,2
ENSG00000207024.1,0,1,0,0,1,1,0,1,0
ENSG00000207025.1,0,0,0,0,0,0,0,0,0
ENSG00000207026.1,0,4,0,0,0,0,0,0,0
ENSG00000207027.1,0,0,0,0,0,0,1,0,0
ENSG00000207029.1,5,16,16,3,13,17,11,10,8
ENSG00000207031.1,13,42,57,50,28,56,24,38,105
ENSG00000207032.1,1,6,3,2,2,2,1,0,1
ENSG00000207033.1,0,1,1,0,0,0,0,0,0
ENSG00000207034.1,21,55,36,44,27,112,40,39,29
ENSG00000207036.1,3,11,4,7,4,8,9,9,1
ENSG00000207037.1,0,0,0,0,0,0,0,0,0
ENSG00000207039.1,0,1,3,0,1,1,1,0,1
ENSG00000207041.1,0,2,1,1,0,1,1,1,1
ENSG00000207042.1,11,11,27,9,6,4,18,15,5
ENSG00000207044.1,0,0,0,0,0,0,0,0,0
ENSG00000207045.1,0,0,0,0,0,0,0,0,0
ENSG00000207046.1,0,0,0,0,0,0,0,0,0
ENSG00000207047.2,10,11,14,9,13,4,10,15,14
ENSG00000207049.1,0,0,0,0,0,0,0,0,0
ENSG00000207051.1,0,0,0,0,0,0,0,0,0
ENSG00000207052.1,5,10,6,7,7,3,5,9,14
ENSG00000207053.1,10,9,15,9,6,14,19,30,10
ENSG00000207056.1,0,0,0,0,1,1,0,0,0
ENSG00000207058.1,0,0,0,2,0,0,0,2,0
ENSG00000207060.1,0,0,0,0,0,0,0,0,0
ENSG00000207061.1,0,0,0,0,0,0,0,0,1
ENSG00000207062.1,5,11,2,14,4,4,4,7,3
ENSG00000207063.1,0,6,0,0,4,0,0,4,1
ENSG00000207065.1,0,0,0,0,0,0,0,0,0
ENSG00000207067.1,0,0,0,0,0,0,0,0,0
ENSG00000207068.1,0,0,0,0,0,0,0,0,0
ENSG00000207069.1,0,7,1,0,0,0,0,2,0
ENSG00000207071.1,0,0,0,1,0,0,1,0,0
ENSG00000207072.1,0,1,0,0,0,0,1,1,2
ENSG00000207073.1,2,5,8,5,2,3,4,3,2
ENSG00000207075.1,1,0,0,0,0,0,0,0,0
ENSG00000207076.1,0,0,0,0,1,0,0,0,0
ENSG00000207077.1,0,0,0,0,0,0,0,0,0
ENSG00000207080.2,0,0,0,0,0,0,0,0,0
ENSG00000207081.1,0,0,0,0,0,0,0,0,0
ENSG00000207082.1,0,5,0,0,0,0,1,0,3
ENSG00000207083.1,0,5,0,3,1,0,1,0,0
ENSG00000207084.1,0,0,0,0,0,0,0,0,0
ENSG00000207086.1,1,54,42,6,9,22,5,70,25
ENSG00000207087.1,0,1,6,0,10,54,1,3,3
ENSG00000207088.1,9,11,13,7,10,10,8,9,8
ENSG00000207089.1,0,0,2,1,0,0,0,0,0
ENSG00000207090.1,0,1,3,0,1,0,2,0,1
ENSG00000207091.1,1,15,2,10,9,0,9,5,5
ENSG00000207092.1,3,10,21,15,6,30,9,13,15
ENSG00000207093.1,0,1,0,0,0,0,0,0,0
ENSG00000207094.1,0,1,0,0,0,0,0,1,1
ENSG00000207095.1,0,0,0,0,0,1,0,0,0
ENSG00000207097.1,0,0,0,0,0,0,0,0,0
ENSG00000207098.1,0,0,0,0,0,0,1,0,0
ENSG00000207099.1,0,0,0,0,0,0,0,0,0
ENSG00000207100.1,0,1,0,0,0,0,0,0,0
ENSG00000207101.1,0,2,0,0,0,3,0,1,0
ENSG00000207104.1,0,0,0,0,0,0,0,0,0
ENSG00000207105.1,0,8,5,0,0,2,3,1,1
ENSG00000207108.1,0,0,0,0,0,0,0,0,0
ENSG00000207109.1,1,11,10,0,4,9,8,13,7
ENSG00000207110.1,32,34,29,7,12,97,27,24,31
ENSG00000207112.1,0,0,0,0,0,0,0,0,0
ENSG00000207113.1,0,1,0,2,1,0,0,1,2
ENSG00000207114.1,0,1,0,0,0,0,0,0,0
ENSG00000207115.1,0,0,0,0,0,0,0,0,0
ENSG00000207116.1,0,2,5,0,2,5,1,2,3
ENSG00000207117.1,2,19,12,10,8,3,4,15,4
ENSG00000207118.1,0,0,0,0,0,0,0,0,0
ENSG00000207119.2,3,1,1,4,3,2,6,3,6
ENSG00000207121.1,0,0,0,0,0,0,0,0,0
ENSG00000207122.1,0,1,0,0,0,4,0,1,1
ENSG00000207123.1,0,1,0,0,0,0,0,0,0
ENSG00000207124.1,0,1,0,0,0,0,0,0,0
ENSG00000207127.1,0,0,0,0,0,0,0,0,0
ENSG00000207128.1,1,4,7,9,10,8,8,8,3
ENSG00000207129.1,1,34,20,42,4,19,14,10,12
ENSG00000207130.1,0,0,0,0,0,0,0,0,0
ENSG00000207131.1,0,0,0,0,0,0,0,0,0
ENSG00000207132.1,0,1,0,0,0,0,0,0,0
ENSG00000207133.1,0,5,0,0,3,0,0,2,4
ENSG00000207134.1,7,17,19,5,7,14,12,11,4
ENSG00000207135.1,0,0,0,0,0,0,0,0,0
ENSG00000207136.1,3,21,9,9,6,7,7,17,5
ENSG00000207137.1,0,13,4,0,9,0,0,0,8
ENSG00000207138.1,0,0,0,0,0,0,0,0,0
ENSG00000207139.1,1,2,8,2,0,5,1,2,0
ENSG00000207142.1,0,2,1,1,3,4,0,1,2
ENSG00000207144.1,14,29,19,15,21,38,15,17,17
ENSG00000207145.1,0,0,0,0,0,0,0,0,0
ENSG00000207146.1,0,0,1,0,0,32,9,0,10
ENSG00000207147.1,0,0,0,0,0,0,0,0,0
ENSG00000207148.1,0,0,0,0,0,0,1,0,0
ENSG00000207149.1,0,0,0,0,0,0,0,0,0
ENSG00000207150.1,0,0,0,0,0,0,0,0,0
ENSG00000207151.1,1,7,3,4,2,0,0,1,7
ENSG00000207153.1,0,14,16,0,2,1,0,4,1
ENSG00000207154.1,0,0,0,0,0,0,0,0,0
ENSG00000207155.1,6,1,16,0,0,2,5,1,0
ENSG00000207156.1,0,0,0,1,0,0,0,0,0
ENSG00000207157.1,0,0,0,0,0,0,0,0,0
ENSG00000207158.1,0,0,0,0,0,0,0,0,0
ENSG00000207160.1,2,6,2,3,3,1,2,9,1
ENSG00000207161.1,0,0,0,0,0,0,0,0,0
ENSG00000207162.1,7,17,42,18,6,18,8,11,13
ENSG00000207163.1,0,0,0,0,0,0,0,0,0
ENSG00000207164.1,0,0,0,0,0,0,0,0,0
ENSG00000207165.1,0,0,0,0,0,0,0,0,0
ENSG00000207166.1,0,0,0,0,0,0,0,0,0
ENSG00000207167.1,0,1,0,0,0,0,0,0,0
ENSG00000207168.1,2,1,1,2,5,0,1,4,2
ENSG00000207169.1,0,1,1,1,0,1,0,0,1
ENSG00000207170.1,1,0,2,2,0,2,3,2,0
ENSG00000207171.1,0,8,8,2,10,3,3,1,4
ENSG00000207172.1,0,10,1,3,2,3,1,1,2
ENSG00000207173.1,1,0,0,0,0,0,0,0,0
ENSG00000207174.1,0,5,2,0,1,0,0,1,4
ENSG00000207175.1,26,27,20,19,11,19,32,13,12
ENSG00000207176.1,0,0,0,0,0,0,0,0,0
ENSG00000207177.1,0,1,0,0,0,1,1,0,0
ENSG00000207178.1,0,0,0,0,0,0,0,0,0
ENSG00000207180.1,0,0,0,0,0,0,0,0,0
ENSG00000207181.1,7,22,21,10,27,17,15,42,28
ENSG00000207182.1,0,2,1,0,0,0,0,0,0
ENSG00000207183.1,0,0,0,0,0,0,0,0,0
ENSG00000207185.1,1,5,12,10,6,8,7,8,6
ENSG00000207186.1,4,5,1,2,0,3,2,1,4
ENSG00000207187.1,0,0,0,0,1,1,0,0,0
ENSG00000207189.1,4,14,11,6,10,8,9,15,9
ENSG00000207190.1,0,0,0,0,0,0,0,0,0
ENSG00000207191.1,0,1,0,0,0,0,0,0,0
ENSG00000207192.1,0,0,0,0,0,0,0,0,0
ENSG00000207193.1,0,0,0,0,0,0,0,0,0
ENSG00000207194.1,0,3,12,13,8,8,10,5,5
ENSG00000207195.1,0,0,0,0,0,0,0,0,0
ENSG00000207196.1,0,0,0,0,0,0,0,0,0
ENSG00000207197.1,0,6,1,0,0,1,0,1,4
ENSG00000207198.1,1,0,0,0,0,0,0,0,0
ENSG00000207199.1,0,3,7,0,2,7,0,1,6
ENSG00000207200.1,5,7,5,5,18,18,5,27,6
ENSG00000207201.1,0,3,0,0,0,0,0,0,0
ENSG00000207202.1,0,0,0,0,0,0,0,0,0
ENSG00000207203.1,0,0,1,0,0,5,2,7,1
ENSG00000207204.1,0,0,0,0,0,0,0,0,0
ENSG00000207205.1,4,9,51,0,12,88,1,1,267
ENSG00000207206.1,3,0,0,0,2,0,1,0,0
ENSG00000207207.1,2,0,0,0,0,1,0,0,0
ENSG00000207208.1,3,5,3,3,3,4,6,3,9
ENSG00000207209.1,0,0,1,0,0,0,1,0,0
ENSG00000207210.1,0,1,0,1,0,0,1,0,0
ENSG00000207214.1,0,0,0,0,0,0,0,0,0
ENSG00000207215.2,0,0,0,0,0,0,0,0,0
ENSG00000207217.1,6,17,7,19,1,13,9,8,6
ENSG00000207218.1,0,0,0,0,0,0,0,0,0
ENSG00000207220.1,0,0,3,1,0,0,5,1,0
ENSG00000207221.1,0,2,1,0,2,3,2,3,0
ENSG00000207222.1,0,0,0,0,0,0,0,0,0
ENSG00000207223.1,31,69,78,33,39,58,40,63,35
ENSG00000207225.1,0,0,0,0,0,0,0,0,0
ENSG00000207227.1,0,0,0,0,0,0,0,0,0
ENSG00000207229.1,0,0,0,0,0,0,0,0,0
ENSG00000207231.1,0,12,9,5,1,4,3,2,3
ENSG00000207233.1,5,16,19,3,4,7,13,9,7
ENSG00000207234.1,67,76,62,37,53,105,72,93,54
ENSG00000207235.1,2,31,5,4,1,0,1,2,4
ENSG00000207237.1,0,9,2,6,3,10,2,7,3
ENSG00000207240.1,0,1,0,0,0,0,0,0,0
ENSG00000207241.1,0,0,0,0,0,0,0,0,0
ENSG00000207242.1,1,1,2,0,0,1,0,1,4
ENSG00000207243.1,1,3,5,3,5,6,4,14,1
ENSG00000207244.1,0,0,0,0,0,0,0,0,0
ENSG00000207245.1,0,1,0,0,0,0,0,0,2
ENSG00000207247.1,0,1,0,0,0,0,0,0,0
ENSG00000207248.1,29,22,27,6,22,5,37,18,18
ENSG00000207249.1,0,3,0,0,0,1,0,0,4
ENSG00000207251.1,2,10,122,0,0,1,1,13,1
ENSG00000207252.1,0,0,0,0,0,0,0,0,0
ENSG00000207255.1,0,0,0,0,0,0,0,0,0
ENSG00000207256.1,0,1,1,0,0,1,0,0,2
ENSG00000207257.1,0,1,0,0,0,0,0,0,0
ENSG00000207258.1,0,0,0,0,0,0,0,0,0
ENSG00000207260.1,1,3,1,1,0,1,0,1,1
ENSG00000207261.1,0,0,0,0,0,0,0,0,0
ENSG00000207263.1,0,6,2,0,4,0,0,2,0
ENSG00000207264.1,0,0,0,0,0,0,0,2,1
ENSG00000207265.1,0,1,3,1,0,7,2,3,3
ENSG00000207266.1,0,0,0,0,0,0,0,0,0
ENSG00000207267.1,0,0,3,0,0,4,1,1,1
ENSG00000207268.1,0,0,0,0,0,0,0,0,0
ENSG00000207269.1,0,1,0,0,0,0,0,0,0
ENSG00000207270.1,0,1,1,0,0,2,0,2,0
ENSG00000207271.1,0,0,0,0,0,0,0,0,0
ENSG00000207274.1,1,4,1,1,2,0,1,1,1
ENSG00000207275.1,0,1,0,0,0,0,0,0,0
ENSG00000207276.1,1,0,0,0,0,3,2,1,0
ENSG00000207277.1,3,0,2,1,1,5,1,0,3
ENSG00000207278.1,7,1,5,0,2,0,5,1,0
ENSG00000207279.1,0,17,10,0,13,0,1,3,10
ENSG00000207280.1,0,0,0,0,0,0,0,0,0
ENSG00000207281.1,0,3,2,2,2,0,3,1,0
ENSG00000207282.1,0,0,1,0,0,0,0,0,0
ENSG00000207283.1,0,0,0,0,0,0,0,0,0
ENSG00000207286.1,3,10,0,2,11,2,9,1,4
ENSG00000207287.1,14,10,0,54,11,2,16,3,4
ENSG00000207289.1,0,0,0,0,0,0,0,0,0
ENSG00000207290.1,0,0,0,0,0,1,2,0,0
ENSG00000207291.1,2,31,23,3,9,25,5,5,32
ENSG00000207292.1,1,1,2,2,1,3,0,2,1
ENSG00000207293.1,3,8,3,1,1,1,6,0,1
ENSG00000207294.1,0,2,6,1,0,1,2,4,2
ENSG00000207295.1,0,0,0,1,0,1,2,0,0
ENSG00000207296.1,0,0,0,0,0,0,1,0,0
ENSG00000207297.1,3,10,0,7,1,1,2,3,3
ENSG00000207298.1,0,5,2,0,1,0,0,0,0
ENSG00000207299.1,0,0,0,0,0,0,0,0,0
ENSG00000207300.1,0,0,0,0,0,0,0,0,1
ENSG00000207302.1,2,4,3,3,2,1,0,2,2
ENSG00000207303.1,0,0,0,0,0,0,0,0,0
ENSG00000207304.1,0,0,0,0,0,0,0,0,0
ENSG00000207305.1,0,0,4,0,1,1,3,11,1
ENSG00000207306.1,5,1,7,2,2,2,10,0,41
ENSG00000207307.1,0,0,1,0,0,0,0,0,0
ENSG00000207308.1,69,245,96,48,69,108,228,241,102
ENSG00000207309.1,0,1,0,0,0,0,0,0,0
ENSG00000207310.1,0,1,1,0,0,0,2,0,0
ENSG00000207312.1,0,0,0,0,0,0,0,0,0
ENSG00000207313.1,24,60,41,22,45,55,34,61,41
ENSG00000207316.1,0,0,0,0,0,0,0,0,0
ENSG00000207317.1,0,0,0,0,1,0,0,0,0
ENSG00000207318.1,0,0,0,0,0,0,0,0,0
ENSG00000207319.1,0,0,0,0,0,0,0,0,0
ENSG00000207320.1,1,17,18,2,6,3,3,12,5
ENSG00000207321.1,0,1,0,0,0,1,0,0,0
ENSG00000207322.1,0,4,0,0,0,0,0,0,0
ENSG00000207323.1,0,0,0,0,0,0,0,0,0
ENSG00000207325.1,2,7,9,1,1,4,1,12,9
ENSG00000207326.1,3,14,12,8,4,10,9,21,4
ENSG00000207327.1,0,3,12,2,2,3,6,2,5
ENSG00000207328.1,0,0,0,0,0,0,0,0,0
ENSG00000207329.1,0,0,0,0,0,0,0,0,0
ENSG00000207330.1,0,28,0,0,0,0,0,0,0
ENSG00000207331.1,0,0,4,0,0,0,0,2,0
ENSG00000207332.1,0,0,0,0,0,0,0,0,0
ENSG00000207333.1,0,0,2,3,0,7,2,2,1
ENSG00000207334.1,0,0,2,0,0,0,0,0,0
ENSG00000207336.1,1,23,13,10,6,27,12,12,19
ENSG00000207338.1,0,0,0,0,0,0,0,0,0
ENSG00000207339.1,1,0,4,0,1,1,3,0,0
ENSG00000207340.1,7,11,16,16,0,14,5,11,6
ENSG00000207341.1,0,0,2,0,0,0,0,0,0
ENSG00000207342.1,6,10,11,18,6,34,13,7,22
ENSG00000207343.1,0,1,1,0,3,0,0,0,0
ENSG00000207344.1,2,21,5,20,2,7,9,0,2
ENSG00000207345.1,0,0,1,0,0,0,0,0,0
ENSG00000207347.1,10,30,14,3,3,19,7,16,6
ENSG00000207349.1,1,8,0,0,1,1,1,1,1
ENSG00000207351.1,0,3,3,0,1,1,1,1,1
ENSG00000207352.1,0,7,4,4,4,6,2,3,6
ENSG00000207355.1,4,11,8,12,7,14,6,12,10
ENSG00000207356.1,0,0,0,1,1,0,1,0,0
ENSG00000207357.1,5,6,6,4,2,1,5,0,1
ENSG00000207359.1,7,9,7,13,1,7,8,15,12
ENSG00000207360.1,2,5,1,1,1,0,0,1,3
ENSG00000207361.1,0,1,0,0,0,0,1,1,1
ENSG00000207362.1,8,7,15,6,6,4,5,3,9
ENSG00000207363.1,0,0,0,0,0,0,0,2,0
ENSG00000207364.1,0,0,1,0,0,0,0,0,0
ENSG00000207365.1,0,1,0,0,0,0,1,0,0
ENSG00000207366.1,0,0,0,0,0,0,0,0,0
ENSG00000207367.1,0,6,1,2,1,1,1,0,3
ENSG00000207368.1,11,48,19,23,43,34,34,45,25
ENSG00000207369.1,5,5,13,6,4,20,9,5,5
ENSG00000207370.1,2,20,35,7,9,31,7,23,23
ENSG00000207371.1,0,0,0,1,1,1,2,0,0
ENSG00000207375.1,0,2,1,0,0,1,0,0,0
ENSG00000207378.1,1,24,12,0,4,15,7,18,7
ENSG00000207379.1,1,7,1,1,4,6,0,0,2
ENSG00000207380.1,0,0,0,2,3,0,0,2,0
ENSG00000207381.1,3,3,8,3,1,2,2,2,0
ENSG00000207382.1,0,32,4,3,0,20,4,1,8
ENSG00000207383.1,5,10,9,16,2,7,6,12,10
ENSG00000207384.1,0,2,5,1,0,2,1,0,2
ENSG00000207385.1,3,32,23,15,9,23,18,19,3
ENSG00000207386.1,0,1,4,0,0,3,0,2,3
ENSG00000207387.1,0,0,0,0,1,0,0,0,0
ENSG00000207389.1,0,3,0,0,0,0,0,0,0
ENSG00000207391.1,1,2,0,0,0,0,0,0,0
ENSG00000207392.1,8,29,33,7,12,18,13,28,21
ENSG00000207393.1,1,2,5,0,0,2,0,0,6
ENSG00000207394.1,0,0,0,0,0,0,0,0,0
ENSG00000207395.1,0,0,0,0,0,0,0,0,0
ENSG00000207397.1,0,0,0,0,0,0,0,0,0
ENSG00000207399.1,18,7,22,28,8,37,23,13,18
ENSG00000207401.1,0,0,3,0,0,0,0,0,0
ENSG00000207402.1,0,2,2,1,2,1,2,1,1
ENSG00000207403.1,0,0,0,0,0,0,0,0,0
ENSG00000207404.1,0,1,2,0,1,2,1,3,2
ENSG00000207405.1,0,0,0,0,0,0,0,0,0
ENSG00000207406.1,0,0,0,0,0,0,0,0,0
ENSG00000207407.1,0,0,1,0,0,0,0,1,0
ENSG00000207408.1,0,0,0,0,0,1,0,0,0
ENSG00000207410.1,0,1,0,0,1,1,0,0,0
ENSG00000207411.1,0,1,0,0,0,0,0,0,0
ENSG00000207412.1,3,6,6,0,0,6,1,10,2
ENSG00000207414.1,0,0,0,0,0,0,0,0,0
ENSG00000207415.1,0,0,0,0,0,0,0,0,0
ENSG00000207416.1,1,5,10,0,1,0,3,1,0
ENSG00000207417.1,1,0,3,0,0,1,1,1,0
ENSG00000207419.1,0,0,2,0,2,1,0,0,0
ENSG00000207420.1,3,9,3,4,3,3,3,2,0
ENSG00000207421.1,0,0,0,0,0,0,0,0,0
ENSG00000207422.1,0,0,0,0,1,0,1,0,0
ENSG00000207425.1,1,28,29,61,25,29,45,35,58
ENSG00000207426.1,1,1,1,0,0,4,2,9,2
ENSG00000207428.1,0,0,2,0,0,0,0,0,0
ENSG00000207430.1,1,0,0,0,0,0,0,0,0
ENSG00000207431.1,3,4,1,1,3,1,2,1,3
ENSG00000207432.1,0,1,0,0,0,0,0,0,4
ENSG00000207433.1,1,0,0,0,0,0,0,0,0
ENSG00000207434.1,0,0,0,0,0,0,0,0,0
ENSG00000207435.1,1,2,1,1,3,1,0,1,0
ENSG00000207438.1,10,43,13,22,7,28,24,17,17
ENSG00000207439.1,0,0,0,0,0,0,0,0,0
ENSG00000207440.1,1,12,11,6,1,4,1,7,7
ENSG00000207441.1,0,3,0,0,0,0,0,0,0
ENSG00000207442.1,0,15,1,0,1,1,0,3,5
ENSG00000207443.1,0,0,0,0,0,0,0,0,0
ENSG00000207444.1,1,6,9,2,6,3,3,7,7
ENSG00000207445.1,44,78,79,38,59,53,41,126,73
ENSG00000207448.1,1,1,0,2,1,0,1,0,1
ENSG00000207449.1,1,10,12,3,2,2,3,5,4
ENSG00000207450.1,4,3,9,1,7,3,1,10,7
ENSG00000207451.1,1,6,1,1,4,2,4,0,0
ENSG00000207452.1,5,35,22,10,9,35,30,28,17
ENSG00000207453.1,0,1,0,1,0,0,0,0,0
ENSG00000207454.1,0,0,0,0,0,0,0,0,0
ENSG00000207455.1,0,11,12,10,7,13,10,25,4
ENSG00000207456.1,0,0,1,1,0,0,0,0,0
ENSG00000207457.1,26,46,33,17,82,16,32,31,67
ENSG00000207458.1,0,1,0,0,0,0,0,0,0
ENSG00000207459.1,0,0,0,1,1,1,1,0,0
ENSG00000207460.1,0,1,4,0,1,0,1,0,2
ENSG00000207461.1,0,0,0,0,0,0,0,0,0
ENSG00000207462.1,0,0,1,0,0,0,1,0,0
ENSG00000207466.1,0,0,0,1,0,0,0,0,0
ENSG00000207467.1,0,6,0,0,0,0,0,0,3
ENSG00000207468.1,5,9,31,7,14,30,13,25,10
ENSG00000207472.1,0,0,0,0,0,0,0,0,0
ENSG00000207473.1,0,4,3,7,1,2,4,0,3
ENSG00000207474.1,0,1,0,0,0,0,0,0,0
ENSG00000207475.1,9,19,19,19,10,18,5,25,18
ENSG00000207476.1,0,0,0,0,0,0,0,0,0
ENSG00000207480.1,0,0,0,0,0,0,0,0,0
ENSG00000207481.1,0,1,0,1,0,0,0,0,0
ENSG00000207483.1,0,0,0,0,1,0,0,0,0
ENSG00000207484.1,3,10,8,9,1,10,10,12,9
ENSG00000207486.1,0,0,0,0,0,0,0,0,0
ENSG00000207488.1,0,0,0,0,1,0,0,0,0
ENSG00000207490.1,1,2,3,1,2,0,3,0,0
ENSG00000207491.1,1,4,0,0,1,0,4,1,1
ENSG00000207492.1,0,2,0,0,0,0,0,0,2
ENSG00000207493.1,1,8,11,15,3,8,6,18,5
ENSG00000207494.1,13,24,10,21,10,17,11,8,15
ENSG00000207495.1,0,0,0,0,0,0,0,0,0
ENSG00000207496.1,0,0,0,0,0,0,0,0,0
ENSG00000207497.1,0,0,0,0,0,0,0,0,0
ENSG00000207499.1,0,1,0,0,0,0,0,0,0
ENSG00000207500.1,0,0,0,0,0,0,0,0,0
ENSG00000207501.1,0,0,0,0,0,0,0,0,0
ENSG00000207502.1,0,0,0,0,0,0,0,0,0
ENSG00000207503.1,0,0,0,0,0,0,0,0,0
ENSG00000207504.1,0,0,0,0,0,0,0,0,0
ENSG00000207505.1,0,13,9,3,1,0,6,1,2
ENSG00000207507.1,1,2,5,3,1,2,1,0,4
ENSG00000207508.1,2,23,24,6,14,15,14,29,21
ENSG00000207511.1,0,0,0,0,0,0,0,0,1
ENSG00000207512.1,1,0,4,0,0,0,0,2,0
ENSG00000207513.1,0,2,0,0,0,0,0,0,0
ENSG00000207515.1,0,0,0,0,0,0,0,0,0
ENSG00000207516.1,0,2,0,0,0,0,0,0,0
ENSG00000207518.1,2,9,14,12,1,12,3,2,3
ENSG00000207523.1,38,45,61,59,39,40,50,92,108
ENSG00000207524.1,0,8,6,1,0,4,4,1,2
ENSG00000207525.1,16,34,37,13,38,39,41,30,37
ENSG00000207546.1,5,27,32,12,12,27,38,20,7
ENSG00000207547.1,33,17,37,52,36,24,16,97,38
ENSG00000207548.2,0,0,0,0,0,0,0,0,0
ENSG00000207549.1,0,0,0,0,0,0,0,0,0
ENSG00000207550.1,0,0,0,0,0,0,0,0,1
ENSG00000207551.1,0,1,0,0,0,1,0,1,0
ENSG00000207552.1,0,2,0,0,0,0,1,0,0
ENSG00000207554.1,106,39,77,208,42,108,91,89,119
ENSG00000207556.1,0,0,0,0,0,0,0,0,0
ENSG00000207558.2,0,0,0,0,0,1,0,0,1
ENSG00000207559.1,0,0,0,0,0,0,0,0,0
ENSG00000207561.1,12,21,11,17,9,8,19,3,3
ENSG00000207562.2,0,1,0,0,0,0,0,0,0
ENSG00000207563.1,2,1,4,0,1,0,0,1,2
ENSG00000207568.1,0,3,0,0,0,0,0,0,0
ENSG00000207569.1,0,0,0,0,0,0,0,0,0
ENSG00000207571.1,0,2,0,0,0,0,0,0,1
ENSG00000207572.2,0,0,0,0,0,0,0,0,0
ENSG00000207573.1,0,4,3,2,0,9,2,6,0
ENSG00000207574.1,0,0,3,0,1,1,11,1,3
ENSG00000207575.1,0,0,2,0,1,0,0,1,0
ENSG00000207577.1,0,0,0,0,0,0,0,0,0
ENSG00000207578.1,0,0,2,0,0,1,0,0,0
ENSG00000207579.1,0,0,0,0,0,0,0,0,0
ENSG00000207580.1,0,0,0,0,0,0,0,0,0
ENSG00000207581.1,0,7,4,0,0,16,1,5,0
ENSG00000207582.1,0,0,1,0,0,0,0,0,0
ENSG00000207583.1,11,22,60,10,0,66,11,40,11
ENSG00000207584.1,0,0,0,0,0,0,0,0,0
ENSG00000207585.1,0,4,2,6,1,2,5,3,2
ENSG00000207586.1,0,0,0,0,0,0,0,0,0
ENSG00000207587.1,0,0,0,0,0,6,0,0,1
ENSG00000207588.1,4,9,17,5,10,21,5,16,12
ENSG00000207589.1,0,0,0,0,0,0,0,0,0
ENSG00000207590.1,3,17,8,10,4,14,6,8,8
ENSG00000207594.1,0,0,0,0,0,0,0,0,0
ENSG00000207595.1,3,3,10,26,3,19,25,14,21
ENSG00000207597.1,0,0,0,0,0,0,0,0,0
ENSG00000207598.1,1,0,0,0,0,0,0,0,0
ENSG00000207599.1,0,0,0,0,0,0,0,0,0
ENSG00000207600.2,0,0,5,0,0,0,2,0,1
ENSG00000207601.1,0,0,0,0,0,0,0,0,0
ENSG00000207602.1,0,0,0,0,0,0,0,0,0
ENSG00000207603.1,0,0,0,0,0,0,0,0,0
ENSG00000207604.2,0,0,0,0,0,0,0,0,0
ENSG00000207605.2,2,0,1,6,2,5,4,2,2
ENSG00000207606.1,1,11,1,0,0,0,1,3,4
